Target sentence,Prediced sentence,Word error rate,Character error rate
2 Tháng 5: Sarah Hughes,2 Tháng 5: Sarah Hughes,0.0,0.0
cả về nền kinh tế Hoa Kỳ và mở rộng quân sự,cả về nền kinh tế Hoa Kỳ và mở rộng quân sự,0.0,0.0
Cấu Trúc Không Gian Và Đơn Vị Địa Tầng Được Thẩm Định Trước,Cấu Trúc Không Gian Và Đơn Vị Địa Tầng Được Thẩm Định Trước,0.0,0.0
"""1922"""" Trong Một Lần Thẩm Tra Của Đại Hội Đảng Lần Thứ 7 Năm 1945""","""1922"""" Trong Một Lần Thẩm Tra Của Đại Hội Đảng Lần Thứ 7 Năm 1945""",0.0,0.0
bắt nguồn từ vùng núi bắc xa cao 1166 m thuộc huyện đình lập,bắt nguồn từ vùng núi bắc xa cao 1166 m thuộc huyện đình lập,0.0,0.0
8 hoac 16 muc do mau xam),8 hoac 16 muc do mau xam),0.0,0.0
cả Virginia Cavaliers và Virginia Tech Hokies đều có thể cạnh tranh trong Đại hội Duyên hải Đại Tây Dương (ACC) và duy trì cơ sở vật chất hiện đại,a Vrgia vales vàVimgia ch Hoki s óth nt ntron hộiDyên h i ây Dươg C à d t c t chất iệnđi,0.9666666388511658,0.42465752363204956
1876 – Jack London,1876  Jack London,0.25,0.0555555559694767
Cavalier King Charles Spaniel: Your Happy Healthy Pet (2Nd Ed.),Cavalier King Charles Spaniel: Your Happy Healthy Pet (2Nd Ed.),0.0,0.0
8kb bộ đệm mã lệnh,8kb bộ đệm mã lệnh,0.0,0.0
1879 - Alva B,1879 - Alva B,0.0,0.0
18 thang 3: Peter Borgelt,18 thang 3: Peter Borgelt,0.0,0.0
Cấu trúc và đối xứng của tinh thể có vai trò rất quan trọng với các tính chất liên kết,Cấu trúc và đối xứng của tinh thể có vai trò rất quan trọng với các tính chất liên kết,0.0,0.0
cây cao từ 16 đến 30 cm là loại bonsai nhỏ,cây cao từ 16 đến 30 cm là loại bonsai nhỏ,0.0,0.0
+ 8 chiec KJ-2000,+ 8 chiec KJ-2000,0.0,0.0
8: di động vinaphone,8: di động vinaphone,0.0,0.0
Ca Voyager 1 va Voyager 2 deu da vuot qua bien gioi ket thuc soc va di vao nhat bao,Ca Voyager 1 va Voyager 2 deu da vuot qua bien gioi ket thuc soc va di vao nhat bao,0.0,0.0
1928: La Maison du bourreau (Hangman's house) de John Ford,1928: La Maison du bourreau (Hangman's house) de John Ford,0.0,0.0
ca: văn mới,ca: văn mới,0.0,0.0
chinh khach Viet Nam,chinh khach Viet Nam,0.0,0.0
"""Cấu Trúc Này Được Mario Puzo Mô Tả Trong Cuốn Tiểu Thuyết Nổi Tiếng """"Bố Già"""" Phần Ii""","""Cấu Trúc Này Được Mario Puzo Mô Tả Trong Cuốn Tiểu Thuyết Nổi Tiếng """"Bố Già"""" Phần I""",0.0555555559694767,0.011363636702299118
1879 – Quoc vuong Shō Tai cua Luu Cau chinh thuc thoai vi theo lenh tu chinh quyen Tokyo,1879  Quoc vuong Sh Tai cua Luu Cau chinh thuc thoai vi theo lenh tu chinh quyen Tokyo,0.10526315867900848,0.022727273404598236
189–199,189199,1.0,0.1428571492433548
1922 – quốc vương vittorio emanuele iii của ý bổ nhiệm benito mussolini làm thủ tướng,1922  quốc vương vittorio emanuele iii của ý bổ nhiệm benito mussolini làm thủ tướng,0.0625,0.0117647061124444
CẦU THỦ TIÊU BIỂU,CẦU THỦ TIÊU BIÊU,0.25,0.05882352963089943
10 DAYS OUT: BLUES FROM THE BACKROADS – KENNY WAYNE SHEPHERD AND VARIOUS ARTISTS,10 DAYS OUT: BLUES FROM THE BACKROADS  KENNY WAYNE SHEPHERD AND VARIOUS ARTISTS,0.0714285746216774,0.012500000186264515
Cầu Trung Hà,Cầu Trung Hà,0.0,0.0
Cả Vô Thần Lẫn Hữu Thần,Cả Vô Thần Lẫn Hữu Thần,0.0,0.0
ANDROID CHIẾM 75% THỊ PHẦN ĐIỆN THOẠI THÔNG MINH TRÊN TOÀN THẾ GIỚI VÀO THỜI ĐIỂM QUÝ 3 NĂM 2012,ANDROID CHIẾM T8% THỊ PHẦN ĐIỆN THOẠI THÔNG MINH TRÊN TOÀN THẾ GIỚI VÀO THỜI ĐIỂM QUÝ 3 NĂM 2012,0.05000000074505806,0.02083333395421505
Cấu trúc về mặt thời gian,Cấu trúc về mặt thời gian,0.0,0.0
1925 — KEIKI YABUKI,1925  KEIKI YABUKI,0.25,0.05263157933950424
cây cầu đã thắng một giải thưởng đặc biệt của học viện kiến trúc hoang gia anh quốc năm 2008,cây cầu đã thắng một giải thưởng đặc biệt của học viện kiến trúc hoang gia anh quốc năm 2008,0.0,0.0
190066xx,190066xx,0.0,0.0
