epoch,acc,norm_edit_dis
1,0,0.039297988
2,0.205422793,0.861981972
3,0.263327205,0.898481405
4,0.328584557,0.92465733
5,0.400275733,0.935854761
6,0.427849263,0.939956514
7,0.478860292,0.948037999
8,0.510569851,0.951655762
9,0.533547792,0.955305144
10,0.516084556,0.953598566
11,0.550091909,0.956574481
12,0.478400733,0.944414515
13,0.564797792,0.960352618
14,0.545496321,0.958379515
15,0.544577203,0.95946596
16,0.559742644,0.962694659
17,0.578124997,0.959694223
18,0.558363968,0.958444886
19,0.57720588,0.96231226
20,0.575827203,0.960359297
21,0.616727938,0.965135679
22,0.606158085,0.965346275
23,0.629595585,0.967291718
24,0.640165438,0.967982125
25,0.618566174,0.964112095
26,0.624080879,0.968310529
27,0.507812498,0.943715323
28,0.630974262,0.967489633
29,0.629595585,0.967656699
30,0.632352938,0.967183829
31,0.652113968,0.969212552
32,0.654871321,0.970141608
33,0.679227938,0.972292799
34,0.654411762,0.965640323
35,0.662224262,0.972391033
36,0.664062497,0.971103317
37,0.644301468,0.970519466
38,0.676930144,0.972103729
39,0.637408085,0.966024268
40,0.674172791,0.973574292
41,0.681985291,0.97170412
42,0.65119485,0.97109302
43,0.656709556,0.96844789
44,0.658547791,0.969939599
45,0.676470585,0.974717195
46,0.681066173,0.972590973
47,0.688419114,0.974208189
48,0.695312497,0.975153432
49,0.684283085,0.973363657
50,0.692095585,0.975154313
51,0.661764703,0.971674172
52,0.675091909,0.972235519
53,0.69806985,0.973342998
54,0.715533085,0.97570996
55,0.710477938,0.976459764
56,0.670036762,0.971326967
57,0.717830879,0.976280076
58,0.655790438,0.967605046
59,0.689797791,0.972011433
60,0.686580879,0.972171193
61,0.694393379,0.97409376
62,0.708180144,0.976792115
63,0.715073526,0.976361846
64,0.700367644,0.974563391
65,0.739430144,0.978052397
66,0.71369485,0.975302041
67,0.70955882,0.975333335
68,0.730698526,0.976271419
69,0.735753673,0.977706796
70,0.728860291,0.976914083
71,0.725643379,0.976959242
72,0.714613967,0.977682646
73,0.738051467,0.978804589
74,0.746323526,0.980241176
75,0.727481614,0.978300397
76,0.735753673,0.97699214
77,0.75643382,0.97919343
78,0.74080882,0.979007495
79,0.750919114,0.979424416
80,0.755055144,0.978733567
81,0.746783085,0.979500487
82,0.757352938,0.980421976
83,0.760569849,0.980034063
84,0.736672791,0.979022449
85,0.767003673,0.981043986
86,0.762867644,0.980126945
87,0.755514702,0.97912817
88,0.744025732,0.979143377
89,0.753676467,0.979716269
90,0.752757349,0.97990756
91,0.761029408,0.98031079
92,0.749540438,0.980365131
93,0.769301467,0.982298863
94,0.763786761,0.980800843
95,0.758731614,0.980665099
96,0.766544114,0.980092534
97,0.773897055,0.981327245
98,0.770680144,0.98070098
99,0.761488967,0.981681412
100,0.774816173,0.981446069
101,0.772977938,0.982482885
102,0.776654408,0.982266737
103,0.781709555,0.981465258
104,0.774816173,0.981587456
105,0.778952202,0.98171045
106,0.775275732,0.981503322
107,0.787224261,0.981923837
108,0.77987132,0.982199783
109,0.77987132,0.981183498
110,0.790441173,0.982361322
111,0.785386026,0.981650764
112,0.789062496,0.981263007
113,0.782628673,0.98190134
114,0.782628673,0.982211494
115,0.782169114,0.981611082
116,0.785386026,0.981862799
117,0.79917279,0.983337007
118,0.793198526,0.982741168
119,0.793658085,0.982082439
120,0.794117643,0.982502153
121,0.801930143,0.983558316
122,0.801470585,0.983547584
123,0.804687496,0.983353925
124,0.802849261,0.983568956
125,0.800551467,0.983306903
126,0.797794114,0.983621939
127,0.795955879,0.982838369
128,0.798253673,0.983335994
129,0.80330882,0.983784318
130,0.797794114,0.983989178
131,0.801011026,0.983581509
132,0.802849261,0.984047869
133,0.803768379,0.983872239
134,0.800091908,0.983638449
135,0.796415438,0.983454184
136,0.796874996,0.983643744
137,0.805147055,0.983901345
138,0.805606614,0.984254534
139,0.801930143,0.983963309
140,0.804227937,0.984072081
141,0.798713232,0.983905722
142,0.800091908,0.98392646
143,0.792738967,0.983825115
144,0.801011026,0.984111054
145,0.802849261,0.983897382
146,0.800091908,0.98394639
147,0.797794114,0.983933337
148,0.801011026,0.984120845
149,0.801011026,0.983948134
150,0.80330882,0.984292003
