epoch,acc,norm_edit_dis,loss
1,0,0.056748,140.887474
2,0.09375,0.737673,47.335968
3,0.1875,0.783699,41.7101
4,0.25,0.827615,32.974171
5,0.3125,0.848891,24.652893
6,0.359375,0.854544,24.566561
7,0.34375,0.864481,23.657592
8,0.40625,0.87446,25.216768
9,0.4375,0.882054,23.53453
10,0.40625,0.883041,20.173925
11,0.40625,0.878582,20.016966
12,0.34375,0.863728,22.815391
13,0.40625,0.871872,24.476108
14,0.40625,0.890503,21.637452
15,0.40625,0.890883,20.441905
16,0.46875,0.896617,16.010736
17,0.4375,0.905466,19.90495
18,0.46875,0.892618,14.981662
19,0.4375,0.889215,20.968577
20,0.484375,0.907672,19.630021
21,0.453125,0.89431,19.193051
22,0.5,0.908112,15.956738
23,0.515625,0.903822,16.545263
24,0.5,0.915265,15.247525
25,0.53125,0.921776,13.606
26,0.53125,0.915519,16.707474
27,0.4375,0.878554,17.488239
28,0.515625,0.915719,12.615177
29,0.5,0.915405,14.476504
30,0.546875,0.926118,16.453762
31,0.5625,0.92717,11.191097
32,0.515625,0.92108,15.849204
33,0.546875,0.924953,13.45256
34,0.578125,0.924898,17.961693
35,0.578125,0.925643,13.666619
36,0.546875,0.918915,15.327959
37,0.53125,0.921593,12.301124
38,0.578125,0.926348,14.028858
39,0.53125,0.916834,14.661243
40,0.578125,0.929229,13.710437
41,0.5625,0.933385,11.546021
42,0.5625,0.928389,13.600849
43,0.59375,0.937315,11.160372
44,0.5625,0.923671,13.545339
45,0.5625,0.936622,10.209779
46,0.578125,0.932012,11.668577
47,0.578125,0.919165,13.502561
48,0.609375,0.944842,6.629454
49,0.625,0.948778,8.177624
50,0.625,0.942787,10.273197
51,0.5625,0.919198,18.112244
52,0.625,0.941375,13.187242
53,0.609375,0.935577,11.462833
54,0.625,0.94844,7.485988
55,0.625,0.943897,9.250101
56,0.625,0.940756,12.670234
57,0.609375,0.94142,10.766513
58,0.609375,0.937036,10.96749
59,0.5625,0.937376,11.614609
60,0.59375,0.946704,8.751675
61,0.625,0.951423,11.923408
62,0.65625,0.945176,9.210813
63,0.65625,0.952369,9.730997
64,0.640625,0.949906,7.905975
65,0.625,0.954069,9.762785
66,0.625,0.94046,13.008712
67,0.625,0.95396,8.624194
68,0.65625,0.960003,5.159146
69,0.65625,0.946495,11.787812
70,0.6875,0.951608,8.114252
71,0.65625,0.957128,8.279368
72,0.6875,0.967334,7.00302
73,0.703125,0.961345,8.588337
74,0.6875,0.950367,9.260473
75,0.703125,0.952141,7.08706
76,0.6875,0.954241,9.786572
77,0.6875,0.953888,8.498494
78,0.671875,0.958948,8.379195
79,0.6875,0.955865,9.748399
80,0.71875,0.959829,8.382281
81,0.71875,0.965605,8.247507
82,0.703125,0.959692,8.109692
83,0.703125,0.95859,7.182741
84,0.65625,0.949822,8.948724
85,0.6875,0.961342,7.676655
86,0.65625,0.958747,9.735306
87,0.71875,0.959585,7.404727
88,0.71875,0.967705,6.86121
89,0.6875,0.96251,7.238633
90,0.71875,0.960573,6.794578
91,0.734375,0.964668,6.101647
92,0.71875,0.963603,6.993628
93,0.765625,0.974992,5.158485
94,0.6875,0.968403,7.744294
95,0.71875,0.960024,9.310988
96,0.75,0.97193,5.026532
97,0.703125,0.966146,7.528416
98,0.75,0.963855,7.512793
99,0.78125,0.969637,5.031434
100,0.734375,0.967646,7.685734
101,0.75,0.968781,5.99937
102,0.765625,0.969467,5.885543
103,0.78125,0.975764,5.690269
104,0.78125,0.976407,4.167037
105,0.796875,0.972701,5.984472
106,0.78125,0.970465,3.889933
107,0.765625,0.970173,8.115446
108,0.796875,0.972646,4.646077
109,0.78125,0.974099,4.995678
110,0.78125,0.976851,5.487139
111,0.78125,0.971955,5.306831
112,0.8125,0.980368,4.290774
113,0.78125,0.968586,3.978387
114,0.75,0.971413,4.032586
115,0.765625,0.971524,7.438358
116,0.796875,0.974305,4.130499
117,0.8125,0.981553,4.028085
118,0.75,0.967345,8.181402
119,0.78125,0.974093,6.47446
120,0.78125,0.969405,6.321745
121,0.828125,0.983896,3.619203
122,0.8125,0.983841,3.248291
123,0.78125,0.981838,4.16098
124,0.84375,0.975392,5.815104
125,0.796875,0.975748,4.464927
126,0.84375,0.976976,4.591025
127,0.78125,0.975657,4.246038
128,0.8125,0.978605,2.66059
129,0.828125,0.9824,5.335512
130,0.796875,0.979373,4.224274
131,0.8125,0.978922,4.231928
132,0.78125,0.978853,3.346761
133,0.84375,0.980078,5.222485
134,0.8125,0.976181,4.762294
135,0.84375,0.978694,4.762036
136,0.84375,0.981587,2.847982
137,0.8125,0.976485,5.507254
138,0.84375,0.981545,4.540125
139,0.84375,0.982982,3.954855
140,0.84375,0.983718,3.481661
141,0.8125,0.984471,3.59052
142,0.84375,0.983567,3.732842
143,0.8125,0.975529,4.417314
144,0.84375,0.98682,3.112155
145,0.84375,0.974276,5.121149
146,0.84375,0.980367,5.225278
147,0.828125,0.975533,3.412855
148,0.8125,0.982323,4.096441
149,0.8125,0.978976,3.469964
150,0.828125,0.984401,2.656338
